Title,Price,Location,Link
"Volkswagen Polo, 2006 il",6 500AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44391875
"LADA (VAZ) 2106, 2001 il",3 400AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706430
"LADA (VAZ) Granta, 2025 il",25 800AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44296077
"Hyundai Elantra, 2022 il",28 500AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/42930120
"LADA (VAZ) 2107, 2008 il",5 700AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706367
"Mercedes ML 320, 2000 il",11 000AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706377
"Land Rover Range Rover, 2007 il",23 300AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44680132
"LADA (VAZ) 2108, 1998 il",6 350AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706386
"Gaz 3302-Gazel, 1995 il",5 200AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44655745
"Hyundai Avante, 2013 год",16 500AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706352
"BMW 520, 2019 il",56 900AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44685984
"Hyundai i30, 2010 il",14 200AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44273514
"LADA (VAZ) Priora, 2018 il",12 500AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44628168
"Khazar LX, 2019 il",11 000AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706343
"Mercedes E 300, 2019 il",46 750AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/43992213
"LADA (VAZ) 2107, 1985 il",3 500AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706291
"Honda Civic, 2003 il",5 500AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44521457
"Hyundai Sonata, 2003 il",7 000AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44662056
"Dodge Intrepid, 2002 il",8 800AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44579058
"KIA Rio, 2007 il",9 800AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706224
"Renault Logan, 2013 il",10 000AZN,N/A,https://tap.az/elanlar/neqliyyat/avtomobiller/44706263
